PAVE	MAF
upstream_gene_variant	5'Flank
intron_variant	Intron
5_prime_UTR_variant	5'UTR
3_prime_UTR_variant	3'UTR
non_coding_transcript_exon_variant	RNA
synonymous_variant	Silent
phased_synonymous	Silent
missense_variant	Missense_Mutation
inframe_insertion	In_Frame_Ins
inframe_deletion	In_Frame_Del
phased_inframe_insertion	In_Frame_Ins
phased_inframe_deletion	In_Frame_Del
phased_missense	Missense_Mutation
stop_gained	Nonsense_Mutation
frameshift_variant	
start_lost	Translation_Start_Site
stop_lost	Nonstop_Mutation
splice_donor_variant	Splice_Site
splice_acceptor_variant	Splice_Site